id,product_affiliate_id,product_code,product_status,product_site_name,product_site_estoque,product_site_ean,product_site_fabricacao,product_site_description,product_site_categories,product_site_tags,product_site_variations,product_site_info,product_site_nutrition,product_site_value,product_site_discount_value,product_site_discount_type,product_sell_by_weight,product_average_weight_value,product_average_weight_type,product_site_related_title,product_site_related_type,product_site_related_code,createdAt,updatedAt
2170,99,55,inactive,"MASCARA PROTETORA DE ROSTO EM TECIDO NINJA PRETA - UNIDADE",-56,,TERCEIRO,NULL,"HIGIENE E LIMPEZA,HIGIENE PESSOAL,HIGIENE PESSOAL",NULL,NULL,NULL,NULL,4.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2171,99,56,inactive,"GUARDANAPO DE PAPEL 20X22CM PRETO C/50UN-LUIGI",0,7898014530131,TERCEIRO,NULL,"DESCARTAVEIS,TOALHAS E GUARDANAPOS,TOALHAS E GUARDANAPOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2172,99,57,inactive,"MASCARA PROTETORA DE ROSTO EM TECIDO NINJA BRANCA - UNIDADE",-9,,TERCEIRO,NULL,"HIGIENE E LIMPEZA,HIGIENE PESSOAL,HIGIENE PESSOAL",NULL,NULL,NULL,NULL,4.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2173,99,58,inactive,"MASCARA PROTETORA DE ROSTO EM TECIDO PINCA PRETA - UNIDADE",235,,TERCEIRO,NULL,"HIGIENE E LIMPEZA,HIGIENE PESSOAL,HIGIENE PESSOAL",NULL,NULL,NULL,NULL,4.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2174,99,60,inactive,"MASCARA PROTETORA DE ROSTO EM TECIDO PINCA BRANCA - UNIDADE",-56,,TERCEIRO,NULL,"HIGIENE E LIMPEZA,HIGIENE PESSOAL,HIGIENE PESSOAL",NULL,NULL,NULL,NULL,4.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2175,99,61,inactive,"FAIXA PARABENS CORINTHIANS UN-GRINTOY",0,7898337089170,TERCEIRO,NULL,"FESTA,TEMAS,CORINTHIANS",NULL,NULL,NULL,NULL,33.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,UN,NULL,NULL,NULL,NULL,NULL
2176,99,62,inactive,"COLHER DE MADEIRA 20X50UN-THEOTO",0,,TERCEIRO,NULL,"DESCARTAVEIS,TALHERES,TALHERES",NULL,NULL,NULL,NULL,96.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,CX,NULL,NULL,NULL,NULL,NULL
2177,99,64,inactive,"GUARDANAPO DE PAPEL 20X22CM LARANJA C/50UN-LUIGI",0,7898014530155,TERCEIRO,NULL,"DESCARTAVEIS,TOALHAS E GUARDANAPOS,TOALHAS E GUARDANAPOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2178,99,65,inactive,"P-500 POTE MARMITEX S/TAMPA 142X58MM C/100UN-TOTALPLAST",-5,,TERCEIRO,NULL,"EMBALAGENS,EMB. P/ DELIVERY,EMB. P/ DELIVERY",NULL,NULL,NULL,NULL,29.99,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,FD,NULL,NULL,NULL,NULL,NULL
2179,99,66,inactive,"GUARDANAPO DE PAPEL 20X22CM SALMAO C/50UN-LUIGI",0,7898014530162,TERCEIRO,NULL,"DESCARTAVEIS,TOALHAS E GUARDANAPOS,TOALHAS E GUARDANAPOS",NULL,NULL,NULL,NULL,2.29,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
